GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
36,274,74,26,76,347,5,21,16,23,699,7,34,41,19,4,4,13,0
35,269,72,20,67,296,7,28,26,34,765,5,20,24,37,11,5,16,0
74,153,52,20,47,422,4,17,9,13,670,5,17,22,1,5,3,1,0
58,116,57,23,55,426,1,5,9,13,689,1,9,19,8,6,1,1,1
48,115,45,16,30,524,0,1,13,19,674,1,15,25,3,3,4,8,1
75,114,37,15,35,423,3,11,4,5,732,2,7,8,18,4,0,7,0
62,109,66,25,58,435,0,1,15,18,811,5,14,20,6,2,1,7,1
48,103,57,23,54,415,4,15,7,8,875,8,9,17,2,2,1,7,1
65,99,24,1,24,392,1,5,4,5,714,2,6,8,23,3,0,11,0
42,85,37,14,35,383,1,3,1,14,678,4,7,11,3,2,0,7,0
35,69,23,9,24,365,0,1,5,6,818,5,3,9,7,1,1,3,0
40,67,36,12,30,398,1,6,11,15,776,5,8,12,4,3,1,6,1
27,66,13,6,13,472,0,0,1,3,286,6,14,20,2,2,6,3,1
45,153,56,19,60,323,11,36,7,8,861,5,16,20,5,5,3,5,0
44,64,24,1,19,537,0,0,4,7,500,4,1,14,2,2,4,6,1
40,61,26,9,18,514,1,4,7,1,684,1,3,4,14,3,0,8,1
49,53,21,7,19,376,0,0,7,11,642,5,7,12,2,3,2,5,0
41,42,17,6,16,348,1,3,5,6,731,1,2,3,1,3,0,4,0
82,372,192,75,153,490,1,3,41,50,829,39,70,110,36,1,6,19,0
82,372,192,75,153,490,1,3,41,50,829,39,70,110,36,1,6,19,1
80,314,143,59,111,525,0,1,26,39,654,30,50,80,24,11,8,22,1
82,305,133,54,110,489,0,1,26,39,666,23,28,51,25,15,3,22,1
76,303,106,44,117,375,1,4,18,24,730,11,18,29,22,20,2,20,1
61,296,120,49,107,454,7,20,16,21,748,13,18,31,46,1,3,25,0
32,152,63,28,52,533,0,1,8,13,625,17,35,52,4,5,5,1,0
76,293,104,40,78,514,0,0,25,31,807,24,35,59,16,7,6,15,1
52,246,93,31,68,451,11,26,21,25,836,5,14,19,37,6,0,18,0
76,225,88,38,92,415,0,1,12,16,736,17,34,51,17,8,5,13,1
78,220,101,39,87,447,7,18,16,22,741,9,20,30,22,12,3,12,0
51,207,84,32,64,497,0,0,20,29,667,23,31,54,8,5,5,15,1
64,203,62,24,44,552,0,0,14,24,572,25,39,64,5,4,12,8,1
55,203,104,43,81,529,0,0,18,36,515,21,41,61,7,4,15,14,1
82,196,74,31,73,419,0,3,12,15,806,6,14,20,39,1,3,17,1
48,189,91,36,68,528,0,0,20,30,669,24,33,57,7,8,11,18,1
34,134,43,15,50,302,4,19,9,1,912,1,13,14,31,6,2,1,0
42,186,85,31,77,400,7,20,15,19,833,7,12,20,11,8,1,11,1
82,184,55,20,53,370,1,7,14,19,741,4,13,17,38,7,1,12,1
64,170,70,29,75,390,0,2,11,15,745,6,14,20,32,11,1,15,1
80,169,74,30,57,529,0,0,13,19,691,13,29,42,4,6,8,11,1
77,151,56,23,49,467,0,2,11,13,810,14,25,38,4,3,6,9,1
55,149,41,17,41,417,1,1,6,8,761,5,1,15,15,7,2,8,0
48,148,51,21,51,407,0,4,9,12,804,6,11,17,21,9,0,13,0
51,145,50,15,38,399,2,7,18,20,875,4,12,15,28,9,0,14,0
51,132,39,16,41,402,2,6,4,5,769,6,15,21,8,3,2,7,0
72,124,46,16,38,423,0,1,14,18,803,4,9,13,19,6,1,13,1
69,118,36,16,36,452,0,0,3,4,821,11,16,27,6,5,3,6,1
54,113,57,22,38,568,0,1,13,20,661,14,20,34,3,6,7,8,1
24,106,41,13,41,303,6,17,1,15,667,1,5,7,15,7,1,13,0
50,96,41,15,37,415,1,5,9,12,754,4,7,11,18,6,1,1,1
56,96,34,14,30,456,0,1,7,1,655,5,8,12,11,6,2,8,1
67,90,37,14,36,388,4,13,5,7,756,1,6,7,14,4,1,1,0
50,87,25,1,26,380,0,1,5,8,659,3,5,8,16,7,1,1,1
45,85,27,11,22,475,0,0,5,7,750,7,8,15,3,2,2,6,1
38,82,34,14,38,368,2,7,5,6,826,3,6,9,7,3,1,6,0
42,82,28,1,23,439,0,0,7,14,525,9,1,19,3,1,1,8,0
54,82,32,13,28,456,1,3,6,8,744,7,6,13,6,2,1,5,0
35,73,40,18,45,392,1,3,4,8,536,6,6,12,6,4,2,8,0
37,73,28,12,26,443,1,3,5,6,810,4,7,11,3,2,1,5,0
46,67,26,11,25,431,2,8,2,4,526,4,4,8,5,2,0,3,0
51,64,22,8,22,384,3,6,3,4,833,3,5,8,3,1,0,3,0
40,53,22,7,18,380,0,0,9,11,756,5,7,12,3,1,1,5,0
19,48,16,7,19,378,0,1,2,4,375,6,4,1,4,3,2,3,0
36,43,13,5,14,353,1,5,3,4,667,2,4,6,6,1,0,5,0
79,377,180,69,165,422,0,1,41,55,736,24,64,88,40,14,11,29,1
55,131,34,12,39,304,4,19,6,9,745,4,8,12,5,7,1,7,0
74,352,184,69,149,467,2,5,44,60,731,36,66,103,22,1,13,29,1
64,335,143,46,113,406,11,31,40,52,770,8,19,28,40,13,2,25,0
82,285,157,61,144,425,15,41,19,25,750,8,21,29,16,8,3,16,1
82,274,72,32,70,450,0,2,8,12,711,13,16,30,64,20,2,22,1
81,259,71,24,47,512,0,0,22,31,722,34,46,79,3,6,15,9,1
76,254,120,45,102,441,1,4,30,39,782,15,20,34,14,9,3,19,1
82,237,87,35,75,464,1,4,17,19,873,5,17,22,42,1,2,17,0
82,237,87,35,75,464,1,4,17,19,873,5,17,22,42,1,2,17,1
